abs_corr,ci,ci_sigma,dsigma,extinction,htmid,kron_radius,kron_radius_sigma,num_filters,num_visits,spectrum_flag,start_mjd,start_time,stop_mjd,stop_time,x,y,z,match_id,target_name,num_images,num_images_per_filter,ra,dec,filter,flux,flux_sigma
"Y","1.4280805720141152","0.1905159836073605","0","0.41930699348449707","17405132628639","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.5025444456645922","0.7676660983526329","0.39766548954168485","15431149","ROQUE33","2","1","56.789663080548955","23.432317847690392","w2_f785lp","16.211700439453125","0"
"Y","1.3454497584609377","0.5442923660819088","0","0.41930699348449707","17405132560678","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.5024970477727589","0.7676942939706567","0.3976709544148926","25703340","ROQUE33","2","1","56.793103801944454","23.432659105649552","w2_f814w","17.694799423217773","0"
"Y","1.3454497584609377","0.5442923660819088","0","0.41930699348449707","17405132560678","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.5024970477727589","0.7676942939706567","0.3976709544148926","25703340","ROQUE33","2","1","56.793103801944454","23.432659105649552","w2_f785lp","16.77869987487793","0"
"Y","2.224999895462623","0","0","0.41930699348449707","17405132644295","0.3499999940395355","0","1","1","N","51867.40362366196","2000-11-19 09:41:13.087","51867.40802175226","2000-11-19 09:47:33.083","0.5027632971042608","0.7675002378258624","0.3977090042014492","4774551","ROQUE33","1","1","56.772555768989484","23.435035176503213","w2_f785lp","14.79319953918457","0"
"Y","1.8109486147921572","0.4714315573145635","0","0.41930699348449707","17405132519052","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.502857673002141","0.7674320932312628","0.3977211874949694","92574692","ROQUE33","2","1","56.76529399870574","23.435795987922738","w2_f785lp","15.504799842834473","0"
"Y","1.8109486147921572","0.4714315573145635","0","0.41930699348449707","17405132519052","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.502857673002141","0.7674320932312628","0.3977211874949694","92574692","ROQUE33","2","1","56.76529399870574","23.435795987922738","w2_f814w","16.54560089111328","0"
"Y","1.9368765365742178","0.1535939655625544","0","0.41930699348449707","17405132659784","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.5027024882054167","0.7675543042345457","0.39768152886938046","61705110","ROQUE33","2","1","56.777582257006394","23.433319437606514","w2_f814w","19.399599075317383","0"
"Y","1.9368765365742178","0.1535939655625544","0","0.41930699348449707","17405132659784","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.5027024882054167","0.7675543042345457","0.39768152886938046","61705110","ROQUE33","2","1","56.777582257006394","23.433319437606514","w2_f785lp","19.14590072631836","0"
"Y","1.090052775034143","0.005092725893085105","0","0.41930699348449707","17405132645168","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.50264661124458","0.7675236021290306","0.39781139297408696","107330874","ROQUE33","2","1","56.77945091416791","23.441429195288343","w2_f785lp","19.572799682617188","0"
"Y","1.090052775034143","0.005092725893085105","0","0.41930699348449707","17405132645168","0.3499999940395355","0","2","1","N","51867.39181947429","2000-11-19 09:24:13.203","51867.40802175226","2000-11-19 09:47:33.083","0.50264661124458","0.7675236021290306","0.39781139297408696","107330874","ROQUE33","2","1","56.77945091416791","23.441429195288343","w2_f814w","19.929399490356445","0"
"N","1.627419328176847","0","0","0.10850829631090164","17405110679980","0.3499999940395355","0","1","1","N","50160.07101914799","1996-03-18 01:42:16.057","50160.096482106484","1996-03-18 02:18:56.057","0.49918942477924483","0.768071684808655","0.4010932624512171","82597923","PPL-15","1","1","56.9791306","23.6465414","w2_f814w","19.918800354003906","0"
"N","1.7734408378601074","0","0","0.10751949995756149","17405110163685","0.3499999940395355","0","1","1","N","50160.07101914799","1996-03-18 01:42:16.057","50160.096482106484","1996-03-18 02:18:56.057","0.49912359947369933","0.7680648223191616","0.4011883113504841","9560366","PPL-15","1","1","56.982349","23.6524866","w2_f814w","17.064300537109375","0"
"Y","1.8851613485684957","0","0","0.10751949995756149","17405110161966","0.3499999940395355","0","1","1","N","50518.12890615733","1997-03-11 03:05:37.497","50518.15234369924","1997-03-11 03:39:22.497","0.49907317042761207","0.7680985892286972","0.4011864002986096","86332004","REV-PPL-15","1","1","56.98614482224719","23.652367063224126","w2_f814w","16.95709991455078","0"
"Y","1.832258060414304","0","0","0.10751949995756149","17405110158578","0.3499999940395355","0","1","1","N","50518.12890615733","1997-03-11 03:05:37.497","50518.15234369924","1997-03-11 03:39:22.497","0.4991521117597159","0.7680442626392424","0.40119219827041325","10324044","REV-PPL-15","1","1","56.980152821521685","23.652729728144873","w2_f814w","18.728700637817383","0"
"N","0.9866666409277146","0","0","0.10751949995756149","17405110173170","0.3499999940395355","0","1","1","N","50160.07101914799","1996-03-18 01:42:16.057","50160.096482106484","1996-03-18 02:18:56.057","0.4991084274903719","0.7680485224962297","0.4012383888655803","106956541","PPL-15","1","1","56.9825892","23.655619000000005","w2_f814w","19.563600540161133","0"
"Y","0.9896774445810625","0","0","0.10751949995756149","17405110163106","0.3499999940395355","0","1","1","N","50518.12890615733","1997-03-11 03:05:37.497","50518.15234369924","1997-03-11 03:39:22.497","0.4990581304718303","0.7680822118411865","0.4012364617821297","21594103","REV-PPL-15","1","1","56.98637554434583","23.6554984575591","w2_f814w","19.562700271606445","0"
"N","1.2035483955055155","0","0","0.10850829631090164","17405108859779","0.3499999940395355","0","1","1","N","50160.07101914799","1996-03-18 01:42:16.057","50160.096482106484","1996-03-18 02:18:56.057","0.49880824858213785","0.768462783848737","0.40081826428678313","86108052","PPL-15","1","1","57.0124473","23.629342100000002","w2_f814w","19.783000946044922","0"
"Y","1.8782795116465578","0","0","0.10850829631090164","17405108868991","0.3499999940395355","0","1","1","N","50518.12890615733","1997-03-11 03:05:37.497","50518.15234369924","1997-03-11 03:39:22.497","0.49882057981972105","0.7683923728135048","0.4009378886448676","86673235","REV-PPL-15","1","1","57.00940277482896","23.636823527598956","w2_f814w","19.448999404907227","0"
"N","1.9145161874832644","0","0","0.10850829631090164","17405108873408","0.3499999940395355","0","1","1","N","50160.07101914799","1996-03-18 01:42:16.057","50160.096482106484","1996-03-18 02:18:56.057","0.49887195584108823","0.768358516344552","0.40093885074420776","7002357","PPL-15","1","1","57.0055547","23.6368837","w2_f814w","19.434999465942383","0"
"N","1.7936559133632208","0","0","0.10850829631090164","17405108827170","0.3499999940395355","0","1","1","N","50160.07101914799","1996-03-18 01:42:16.057","50160.096482106484","1996-03-18 02:18:56.057","0.49877177298219555","0.7683736560791056","0.4010344662492558","99759472","PPL-15","1","1","57.011325799999995","23.642863900000002","w2_f814w","19.752500534057617","0"
"Y","4.146236501714235","0","0","0.10850829631090164","17405116430918","0.3499999940395355","0","1","1","N","50518.12890615733","1997-03-11 03:05:37.497","50518.15234369924","1997-03-11 03:39:22.497","0.49873451422653153","0.7683808918813327","0.4010669386917008","53627089","REV-PPL-15","1","1","57.01352691246958","23.644894926688973","w2_f814w","16.929000854492188","0"
