abs_corr,ci,ci_sigma,dsigma,extinction,htmid,kron_radius,kron_radius_sigma,num_filters,num_visits,spectrum_flag,start_mjd,start_time,stop_mjd,stop_time,x,y,z,match_id,target_name,num_images,num_images_per_filter,ra,dec,filter,flux,flux_sigma
"Y","3.258362317174497","0.39968551359312404","0","1.7212369441986084","16734347661934","0.4549999999999999","6.798699777552591e-17","3","1","N","51475.64251867123","1999-10-24 15:25:13.617","51475.925620592665","1999-10-24 22:12:53.620","0.10314260584183116","0.9214566357399384","0.37453874474201976","100693889","CRAB-FIELD-3","3","1","83.6132222665816","21.99580731998372","w2_f631n","19.438800811767578","0"
"Y","3.14996131630831","1.3345907599593385","0","1.7212369441986084","16734347682584","0.3499999940395355","0","3","1","N","51475.62793526845","1999-10-24 15:04:13.610","51475.925620592665","1999-10-24 22:12:53.620","0.10306481169162149","0.9214594744893438","0.3745531757531231","25870270","CRAB-FIELD-3","3","1","83.61801916022202","21.99669906780979","w2_f631n","19.85610008239746","0"
"Y","1.2285057155565284","0","0","1.0941359996795654","16734342952991","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10342351552914952","0.9214177320303861","0.37455699103867984","100757405","CRAB-FIELD-1","1","1","83.5957040016054","21.996934829972552","w2_f502n","19.580490112304688","0"
"Y","1.0498850510038178","0","0","1.0941359996795654","16734343847429","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10347036941852282","0.9213847963166651","0.3746250655912421","107782928","CRAB-FIELD-1","1","1","83.59259966396053","22.001141501694196","w2_f502n","19.543590545654297","0"
"Y","1.2068964969152691","0","0","1.0941359996795654","16734343806805","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10338484058751386","0.9213954332860376","0.37462251701768856","46867710","CRAB-FIELD-1","1","1","83.59792533707586","22.000984010165524","w2_f502n","19.45939064025879","0"
"Y","1.2722078081849333","0","0","1.0941359996795654","16734343791682","0.7275","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10333816770794352","0.9213960802261635","0.3746338031183959","44569990","CRAB-FIELD-1","1","1","83.60079601621943","22.001681446830272","w2_f502n","19.6542911529541","0"
"Y","1.0264726323529652","0.0784198841317332","17.412937921301758","1.0941359996795654","16734343852738","0.24499999582767487","0.09036960987252109","5","7","N","51570.39531025011","2000-01-27 09:29:14.810","56383.33731733775","2013-04-01 08:05:44.220","0.10344714581012847","0.9213654377240916","0.3746790869434192","84551214","V-CM-TAU","10","1","83.59389235371385","22.00447984371422","w2_f673n","19.415990829467773","0"
"Y","1.0264726323529652","0.0784198841317332","17.412937921301758","1.0941359996795654","16734343852738","0.24499999582767487","0.09036960987252109","5","7","N","51570.39531025011","2000-01-27 09:29:14.810","56383.33731733775","2013-04-01 08:05:44.220","0.10344714581012847","0.9213654377240916","0.3746790869434192","84551214","V-CM-TAU","10","6","83.59389235371385","22.00447984371422","a_f550m","19.865349769592285","0.06634998321533203"
"Y","1.0264726323529652","0.0784198841317332","17.412937921301758","1.0941359996795654","16734343852738","0.24499999582767487","0.09036960987252109","5","7","N","51570.39531025011","2000-01-27 09:29:14.810","56383.33731733775","2013-04-01 08:05:44.220","0.10344714581012847","0.9213654377240916","0.3746790869434192","84551214","V-CM-TAU","10","1","83.59389235371385","22.00447984371422","w2_f631n","19.603790283203125","0"
"Y","1.7833332905824157","0","0","1.0941359996795654","16734343850345","0.3499999940395355","0","1","1","N","51570.526560250204","2000-01-27 12:38:14.810","51570.6240139585","2000-01-27 14:58:34.810","0.10338631220952094","0.921360684925892","0.3747075642696631","51857933","CRAB-FIELD-1","1","1","83.59759551646731","22.006239680544276","w2_f502n","19.7703914642334","0"
